ProductionKey,ProductionRecordID,ProductionDateKey,ProductKey,Factory,ProductionLine,Shift,PlannedQuantity,ActualQuantity,DefectQuantity,YieldRate,WorkHours,DowntimeMinutes
291,MFG-00291,20250813,6,九州工場,ライン-E,夜勤,5,4,1,0.9664,8.5,9
292,MFG-00292,20250918,14,第二工場,ライン-C,夜勤,5,4,1,0.9891,9.9,3
293,MFG-00293,20250809,17,九州工場,ライン-C,夜勤,50,47,3,0.9557,6.2,2
294,MFG-00294,20250528,9,本社工場,ライン-E,日勤,500,479,21,0.9599,10.7,0
295,MFG-00295,20251103,2,九州工場,ライン-E,日勤,50,47,3,0.9512,5.6,9
296,MFG-00296,20250807,15,本社工場,ライン-E,夜勤,100,98,2,0.9839,10.8,6
297,MFG-00297,20250910,9,本社工場,ライン-A,夜勤,500,483,17,0.967,4.6,1
298,MFG-00298,20250617,6,第二工場,ライン-E,夜勤,20,19,1,0.9536,9.5,0
299,MFG-00299,20250810,4,第二工場,ライン-E,日勤,500,496,4,0.9921,4.3,0
300,MFG-00300,20250506,5,第二工場,ライン-E,日勤,500,478,22,0.9573,10.5,4
301,MFG-00301,20250309,7,九州工場,ライン-A,日勤,5,4,1,0.96,5.4,4
302,MFG-00302,20251111,13,本社工場,ライン-E,夜勤,20,19,1,0.9644,5.9,7
303,MFG-00303,20250908,13,第二工場,ライン-E,夜勤,5,4,1,0.993,10.1,7
304,MFG-00304,20250616,8,本社工場,ライン-D,日勤,200,191,9,0.9554,9.6,7
305,MFG-00305,20260307,16,第二工場,ライン-E,日勤,50,48,2,0.9603,10.8,8
306,MFG-00306,20260131,11,九州工場,ライン-C,夜勤,200,194,6,0.9704,6.1,139
307,MFG-00307,20260108,8,九州工場,ライン-C,日勤,100,97,3,0.9775,5.3,10
308,MFG-00308,20250226,20,第二工場,ライン-E,日勤,200,171,29,0.8583,10.4,100
309,MFG-00309,20250630,18,九州工場,ライン-A,日勤,200,191,9,0.9595,5.3,3
310,MFG-00310,20250529,6,第二工場,ライン-C,夜勤,20,19,1,0.9517,4.2,1
311,MFG-00311,20250914,13,本社工場,ライン-D,日勤,5,4,1,0.983,4.3,6
312,MFG-00312,20251202,13,九州工場,ライン-B,夜勤,5,4,1,0.9838,9.9,153
313,MFG-00313,20251106,5,九州工場,ライン-A,夜勤,100,96,4,0.965,6.6,0
314,MFG-00314,20250604,9,本社工場,ライン-D,日勤,100,97,3,0.9726,6.3,119
315,MFG-00315,20251015,9,第二工場,ライン-D,日勤,200,196,4,0.9849,11.6,1
316,MFG-00316,20250820,8,本社工場,ライン-E,夜勤,500,486,14,0.9729,4.9,2
317,MFG-00317,20260219,3,九州工場,ライン-A,日勤,100,97,3,0.9785,4.7,7
318,MFG-00318,20250925,19,本社工場,ライン-B,夜勤,100,96,4,0.9662,5.2,9
319,MFG-00319,20251103,14,第二工場,ライン-A,日勤,20,19,1,0.965,9.2,7
320,MFG-00320,20250921,18,本社工場,ライン-A,夜勤,500,493,7,0.9863,5.3,2
321,MFG-00321,20250412,15,本社工場,ライン-A,夜勤,200,195,5,0.9752,5.1,6
322,MFG-00322,20250724,1,本社工場,ライン-C,夜勤,1000,992,8,0.9923,6.2,5
323,MFG-00323,20251016,6,第二工場,ライン-B,日勤,50,48,2,0.979,7.8,5
324,MFG-00324,20260118,5,九州工場,ライン-B,夜勤,50,47,3,0.9572,4.5,4
325,MFG-00325,20251226,7,九州工場,ライン-B,日勤,10,9,1,0.9725,5.3,8
326,MFG-00326,20260329,8,九州工場,ライン-C,日勤,1000,989,11,0.9894,10.9,4
327,MFG-00327,20250708,20,第二工場,ライン-D,日勤,50,49,1,0.9851,6.2,1
328,MFG-00328,20250306,17,九州工場,ライン-E,夜勤,100,97,3,0.9784,6.2,9
329,MFG-00329,20251209,16,本社工場,ライン-B,日勤,500,477,23,0.9544,10.4,2
330,MFG-00330,20250901,1,本社工場,ライン-C,日勤,100,97,3,0.9704,7.8,1
331,MFG-00331,20250504,18,第二工場,ライン-D,夜勤,500,495,5,0.9903,6.5,169
332,MFG-00332,20260308,7,九州工場,ライン-B,夜勤,20,19,1,0.9735,10.3,8
333,MFG-00333,20250811,12,本社工場,ライン-B,夜勤,20,19,1,0.9704,8.9,3
334,MFG-00334,20250715,12,九州工場,ライン-B,日勤,10,9,1,0.9781,6.6,4
335,MFG-00335,20250915,1,第二工場,ライン-E,日勤,200,193,7,0.9691,12.0,4
336,MFG-00336,20251117,2,本社工場,ライン-E,夜勤,1000,973,27,0.9735,7.8,8
337,MFG-00337,20260218,4,第二工場,ライン-A,日勤,200,196,4,0.9839,5.4,1
338,MFG-00338,20250803,4,第二工場,ライン-A,日勤,100,96,4,0.9633,10.8,0
339,MFG-00339,20250620,11,九州工場,ライン-B,夜勤,200,193,7,0.9694,10.7,1
340,MFG-00340,20250409,17,九州工場,ライン-B,夜勤,50,48,2,0.9632,5.6,2
341,MFG-00341,20251122,1,第二工場,ライン-C,夜勤,100,99,1,0.9901,4.7,1
342,MFG-00342,20250301,3,九州工場,ライン-B,日勤,100,99,1,0.9964,10.1,3
343,MFG-00343,20251123,12,本社工場,ライン-D,日勤,20,19,1,0.9915,10.0,4
344,MFG-00344,20250128,13,本社工場,ライン-C,夜勤,10,9,1,0.959,11.1,4
345,MFG-00345,20250513,15,本社工場,ライン-C,夜勤,200,197,3,0.9871,8.2,10
346,MFG-00346,20260302,6,九州工場,ライン-A,夜勤,10,9,1,0.9708,9.2,4
347,MFG-00347,20250417,11,九州工場,ライン-E,夜勤,50,48,2,0.9624,7.7,44
348,MFG-00348,20250922,6,本社工場,ライン-D,夜勤,10,9,1,0.9782,4.3,10
349,MFG-00349,20250703,1,第二工場,ライン-B,夜勤,100,95,5,0.9548,11.3,7
350,MFG-00350,20251007,6,第二工場,ライン-A,夜勤,20,19,1,0.9727,5.9,9
351,MFG-00351,20250622,16,第二工場,ライン-D,日勤,1000,986,14,0.9866,11.2,6
352,MFG-00352,20250807,9,第二工場,ライン-E,日勤,100,96,4,0.9644,8.8,8
353,MFG-00353,20250412,19,本社工場,ライン-B,夜勤,500,477,23,0.9543,10.3,5
354,MFG-00354,20250823,13,第二工場,ライン-B,日勤,5,4,1,0.9648,5.5,6
355,MFG-00355,20250216,8,九州工場,ライン-B,夜勤,50,47,3,0.9548,8.4,3
356,MFG-00356,20250830,13,九州工場,ライン-D,日勤,5,4,1,0.9866,5.1,4
357,MFG-00357,20260224,14,第二工場,ライン-E,日勤,20,19,1,0.9513,11.1,3
358,MFG-00358,20250708,12,九州工場,ライン-C,日勤,20,19,1,0.981,5.1,3
359,MFG-00359,20250604,14,第二工場,ライン-A,夜勤,10,9,1,0.9686,10.6,122
360,MFG-00360,20250402,6,九州工場,ライン-D,日勤,5,4,1,0.9549,10.9,0
361,MFG-00361,20250324,11,九州工場,ライン-B,夜勤,500,424,76,0.8481,9.4,0
362,MFG-00362,20250605,14,九州工場,ライン-C,日勤,20,19,1,0.9679,7.8,8
363,MFG-00363,20250706,4,第二工場,ライン-B,夜勤,500,475,25,0.9503,11.6,4
364,MFG-00364,20250412,17,九州工場,ライン-E,夜勤,200,190,10,0.9519,10.9,0
365,MFG-00365,20251103,12,第二工場,ライン-C,夜勤,20,15,5,0.7901,6.3,7
366,MFG-00366,20250616,10,九州工場,ライン-A,日勤,200,172,28,0.8608,6.0,39
367,MFG-00367,20250306,5,第二工場,ライン-D,夜勤,100,97,3,0.9796,11.4,8
368,MFG-00368,20251019,15,本社工場,ライン-A,夜勤,200,199,1,0.9969,9.1,6
369,MFG-00369,20250920,3,九州工場,ライン-C,夜勤,200,178,22,0.8926,6.1,1
370,MFG-00370,20260305,14,本社工場,ライン-A,夜勤,10,9,1,0.9881,9.6,161
371,MFG-00371,20250831,7,第二工場,ライン-D,日勤,20,19,1,0.9937,9.4,6
372,MFG-00372,20250417,1,九州工場,ライン-D,日勤,100,98,2,0.9879,9.1,72
373,MFG-00373,20250110,11,本社工場,ライン-B,夜勤,500,486,14,0.9721,7.4,8
374,MFG-00374,20250719,16,本社工場,ライン-E,夜勤,100,97,3,0.9713,7.7,3
375,MFG-00375,20250930,6,第二工場,ライン-D,夜勤,20,19,1,0.9803,8.5,3
376,MFG-00376,20260118,17,第二工場,ライン-C,夜勤,500,486,14,0.9724,5.2,9
377,MFG-00377,20250630,19,第二工場,ライン-D,日勤,500,492,8,0.9857,11.9,8
378,MFG-00378,20250309,13,本社工場,ライン-E,日勤,5,4,1,0.9639,10.9,6
379,MFG-00379,20251009,14,本社工場,ライン-C,夜勤,5,4,1,0.9803,9.3,10
380,MFG-00380,20260126,11,九州工場,ライン-E,夜勤,100,98,2,0.9863,6.3,2
381,MFG-00381,20260324,6,第二工場,ライン-D,日勤,10,9,1,0.9583,11.3,10
382,MFG-00382,20250803,14,本社工場,ライン-D,日勤,5,4,1,0.9979,8.8,0
383,MFG-00383,20250616,20,本社工場,ライン-B,夜勤,500,475,25,0.9511,8.8,6
384,MFG-00384,20251010,17,本社工場,ライン-B,夜勤,200,191,9,0.9584,11.5,5
385,MFG-00385,20250309,10,本社工場,ライン-A,日勤,200,196,4,0.9828,7.5,2
386,MFG-00386,20250825,17,九州工場,ライン-A,夜勤,500,480,20,0.9618,9.8,23
387,MFG-00387,20251216,14,第二工場,ライン-E,夜勤,10,9,1,0.9844,5.0,10
388,MFG-00388,20251001,1,第二工場,ライン-D,日勤,100,98,2,0.9895,10.2,8
389,MFG-00389,20251119,15,本社工場,ライン-D,日勤,100,98,2,0.9896,10.0,2
390,MFG-00390,20250707,14,本社工場,ライン-C,日勤,5,4,1,0.9808,4.6,7
391,MFG-00391,20260121,8,第二工場,ライン-C,夜勤,500,485,15,0.9716,6.1,0
392,MFG-00392,20260125,5,九州工場,ライン-B,夜勤,50,48,2,0.977,9.7,2
393,MFG-00393,20251018,10,九州工場,ライン-D,夜勤,500,494,6,0.9886,5.0,6
394,MFG-00394,20250512,8,本社工場,ライン-A,夜勤,100,80,20,0.8046,8.1,8
395,MFG-00395,20250727,16,本社工場,ライン-E,夜勤,200,194,6,0.9741,8.2,7
396,MFG-00396,20251128,6,第二工場,ライン-E,日勤,10,9,1,0.9531,5.8,2
397,MFG-00397,20250523,20,九州工場,ライン-A,日勤,200,198,2,0.9938,11.3,8
398,MFG-00398,20250427,7,九州工場,ライン-C,日勤,5,4,1,0.9532,8.4,8
399,MFG-00399,20260323,3,第二工場,ライン-A,日勤,100,95,5,0.9588,11.5,3
400,MFG-00400,20251220,15,本社工場,ライン-B,夜勤,200,191,9,0.9591,10.6,48
401,MFG-00401,20250925,10,本社工場,ライン-A,日勤,100,97,3,0.9729,4.8,0
402,MFG-00402,20250613,3,第二工場,ライン-B,日勤,200,190,10,0.9548,8.7,4
403,MFG-00403,20251019,1,第二工場,ライン-E,日勤,500,490,10,0.9808,8.7,7
404,MFG-00404,20250101,9,九州工場,ライン-D,夜勤,200,194,6,0.9744,8.1,4
405,MFG-00405,20250516,18,第二工場,ライン-B,夜勤,500,490,10,0.98,4.9,2
406,MFG-00406,20250907,1,九州工場,ライン-C,夜勤,200,197,3,0.9865,9.4,128
407,MFG-00407,20250625,18,本社工場,ライン-B,日勤,500,487,13,0.9741,6.6,1
408,MFG-00408,20251217,10,本社工場,ライン-E,日勤,100,96,4,0.969,5.4,10
409,MFG-00409,20250322,11,第二工場,ライン-E,夜勤,500,497,3,0.9948,7.8,4
410,MFG-00410,20250709,5,第二工場,ライン-C,夜勤,500,482,18,0.9648,8.5,0
411,MFG-00411,20260126,13,第二工場,ライン-A,夜勤,5,4,1,0.9632,10.5,10
412,MFG-00412,20260102,9,第二工場,ライン-C,日勤,100,96,4,0.9656,8.5,3
413,MFG-00413,20251113,17,第二工場,ライン-D,日勤,50,49,1,0.9847,11.5,0
414,MFG-00414,20260204,13,本社工場,ライン-D,夜勤,10,9,1,0.9527,6.7,7
415,MFG-00415,20250526,4,本社工場,ライン-D,日勤,100,96,4,0.9699,5.2,4
416,MFG-00416,20251021,7,本社工場,ライン-E,夜勤,10,9,1,0.9625,8.2,0
417,MFG-00417,20250313,3,第二工場,ライン-C,夜勤,500,482,18,0.9654,5.8,3
418,MFG-00418,20251213,9,九州工場,ライン-C,日勤,100,97,3,0.9705,10.4,8
419,MFG-00419,20250131,17,本社工場,ライン-C,夜勤,1000,991,9,0.9919,6.6,4
420,MFG-00420,20251022,11,九州工場,ライン-A,日勤,200,197,3,0.9875,8.3,1
421,MFG-00421,20251021,15,九州工場,ライン-E,日勤,500,485,15,0.9707,6.2,2
422,MFG-00422,20251130,11,本社工場,ライン-A,夜勤,200,197,3,0.9855,11.6,6
423,MFG-00423,20251022,10,九州工場,ライン-A,夜勤,50,48,2,0.9705,6.1,10
424,MFG-00424,20260129,11,第二工場,ライン-E,日勤,500,483,17,0.967,11.0,2
425,MFG-00425,20250407,5,第二工場,ライン-B,日勤,100,99,1,0.9953,4.3,5
426,MFG-00426,20250205,11,本社工場,ライン-C,日勤,100,99,1,0.9976,5.9,5
427,MFG-00427,20250114,5,本社工場,ライン-D,夜勤,50,49,1,0.991,5.7,127
428,MFG-00428,20250724,7,第二工場,ライン-B,日勤,5,4,1,0.9848,5.0,1
429,MFG-00429,20250908,20,九州工場,ライン-C,夜勤,200,190,10,0.9544,8.1,8
430,MFG-00430,20250227,15,本社工場,ライン-A,夜勤,500,495,5,0.9912,6.8,1
431,MFG-00431,20250811,10,九州工場,ライン-B,日勤,500,496,4,0.992,4.1,10
432,MFG-00432,20250615,2,本社工場,ライン-B,日勤,200,191,9,0.9575,9.6,0
433,MFG-00433,20251102,7,第二工場,ライン-C,夜勤,10,9,1,0.9749,5.2,10
434,MFG-00434,20250403,12,本社工場,ライン-A,日勤,10,9,1,0.9936,6.1,0
435,MFG-00435,20250619,1,本社工場,ライン-D,日勤,1000,806,194,0.8066,8.8,2
436,MFG-00436,20250221,1,本社工場,ライン-C,日勤,200,199,1,0.9965,7.7,8
437,MFG-00437,20250814,5,九州工場,ライン-E,日勤,100,99,1,0.9933,5.0,5
438,MFG-00438,20251111,4,第二工場,ライン-D,日勤,100,98,2,0.9887,5.1,1
439,MFG-00439,20260103,13,九州工場,ライン-C,日勤,5,4,1,0.9645,9.7,9
440,MFG-00440,20250924,17,第二工場,ライン-E,日勤,100,95,5,0.957,9.9,6
441,MFG-00441,20251120,2,本社工場,ライン-B,日勤,100,86,14,0.8692,5.3,9
442,MFG-00442,20250904,16,本社工場,ライン-C,夜勤,200,195,5,0.9798,8.4,4
443,MFG-00443,20251202,17,第二工場,ライン-C,日勤,100,97,3,0.9734,8.4,10
444,MFG-00444,20260315,11,第二工場,ライン-E,日勤,500,475,25,0.9512,8.3,132
445,MFG-00445,20260301,4,九州工場,ライン-A,夜勤,100,97,3,0.9717,8.4,8
446,MFG-00446,20250404,13,本社工場,ライン-E,日勤,5,4,1,0.86,6.8,2
447,MFG-00447,20251016,17,本社工場,ライン-E,夜勤,200,199,1,0.9979,5.3,10
448,MFG-00448,20250326,20,九州工場,ライン-B,日勤,200,194,6,0.9704,5.6,117
449,MFG-00449,20250601,13,第二工場,ライン-E,夜勤,5,4,1,0.95,6.0,4
450,MFG-00450,20250417,20,本社工場,ライン-E,日勤,500,486,14,0.9731,5.3,3
451,MFG-00451,20250720,6,第二工場,ライン-D,日勤,10,9,1,0.9956,5.1,9
452,MFG-00452,20251211,5,第二工場,ライン-B,日勤,500,475,25,0.9505,4.9,1
453,MFG-00453,20260131,20,本社工場,ライン-D,夜勤,100,98,2,0.9857,7.6,102
454,MFG-00454,20260325,9,第二工場,ライン-A,夜勤,100,97,3,0.9781,11.0,7
455,MFG-00455,20260124,10,九州工場,ライン-B,日勤,50,49,1,0.9961,10.9,10
456,MFG-00456,20250911,14,本社工場,ライン-D,日勤,5,4,1,0.9632,6.0,6
457,MFG-00457,20251208,9,本社工場,ライン-C,日勤,100,96,4,0.9617,8.0,10
458,MFG-00458,20250517,4,九州工場,ライン-D,夜勤,200,196,4,0.982,4.3,10
459,MFG-00459,20250220,19,本社工場,ライン-A,日勤,200,198,2,0.9934,7.4,0
460,MFG-00460,20250627,15,九州工場,ライン-D,日勤,1000,980,20,0.9801,10.2,0
461,MFG-00461,20250421,19,本社工場,ライン-B,夜勤,50,49,1,0.9885,9.8,4
462,MFG-00462,20250703,12,本社工場,ライン-C,夜勤,5,4,1,0.9976,6.1,3
463,MFG-00463,20251013,18,九州工場,ライン-C,夜勤,500,479,21,0.9583,8.0,105
464,MFG-00464,20251112,18,第二工場,ライン-B,夜勤,100,98,2,0.9807,6.5,2
465,MFG-00465,20260123,13,第二工場,ライン-B,夜勤,20,19,1,0.9862,11.7,1
466,MFG-00466,20250408,19,九州工場,ライン-C,夜勤,500,484,16,0.9691,9.6,1
467,MFG-00467,20251231,20,第二工場,ライン-D,日勤,500,484,16,0.969,11.4,4
468,MFG-00468,20251111,19,第二工場,ライン-A,日勤,200,166,34,0.8322,9.3,7
469,MFG-00469,20250425,8,本社工場,ライン-B,夜勤,200,190,10,0.9506,5.9,171
470,MFG-00470,20250905,15,九州工場,ライン-D,日勤,200,195,5,0.9779,9.0,6
471,MFG-00471,20260118,9,第二工場,ライン-C,夜勤,200,198,2,0.995,6.6,2
472,MFG-00472,20250614,8,九州工場,ライン-E,日勤,50,49,1,0.9973,9.7,1
473,MFG-00473,20260218,20,九州工場,ライン-B,夜勤,500,488,12,0.9766,11.9,9
474,MFG-00474,20260305,2,九州工場,ライン-D,夜勤,200,199,1,0.9958,5.4,8
475,MFG-00475,20251129,2,第二工場,ライン-C,日勤,50,49,1,0.9958,6.2,0
476,MFG-00476,20260101,20,第二工場,ライン-D,日勤,1000,971,29,0.9717,8.3,5
477,MFG-00477,20250430,19,第二工場,ライン-E,日勤,500,489,11,0.9782,10.9,0
478,MFG-00478,20251231,12,本社工場,ライン-E,日勤,10,9,1,0.9852,6.0,2
479,MFG-00479,20260304,6,九州工場,ライン-A,夜勤,10,9,1,0.9694,9.6,6
480,MFG-00480,20250715,16,第二工場,ライン-B,日勤,50,49,1,0.9839,11.0,2
481,MFG-00481,20250514,13,本社工場,ライン-B,夜勤,10,9,1,0.9861,8.2,170
482,MFG-00482,20250201,18,九州工場,ライン-A,夜勤,50,44,6,0.8978,4.1,4
483,MFG-00483,20250115,19,第二工場,ライン-E,日勤,1000,979,21,0.9798,5.5,5
484,MFG-00484,20250219,5,第二工場,ライン-E,日勤,500,496,4,0.9922,5.4,7
485,MFG-00485,20250116,20,九州工場,ライン-A,日勤,500,481,19,0.964,6.8,8
486,MFG-00486,20250327,4,本社工場,ライン-D,日勤,1000,995,5,0.995,11.4,6
487,MFG-00487,20260206,15,九州工場,ライン-A,日勤,100,96,4,0.9615,10.5,6
488,MFG-00488,20250122,12,第二工場,ライン-A,日勤,5,4,1,0.9938,8.5,8
489,MFG-00489,20250721,18,第二工場,ライン-B,夜勤,100,96,4,0.9641,9.0,6
490,MFG-00490,20250212,16,第二工場,ライン-A,日勤,100,96,4,0.9687,8.0,4
491,MFG-00491,20260130,2,本社工場,ライン-E,日勤,1000,978,22,0.9782,11.2,10
492,MFG-00492,20250610,2,本社工場,ライン-E,日勤,1000,966,34,0.9669,8.3,10
493,MFG-00493,20260324,14,九州工場,ライン-E,日勤,20,15,5,0.7822,7.7,3
494,MFG-00494,20251231,11,九州工場,ライン-A,日勤,200,195,5,0.9794,4.4,1
495,MFG-00495,20250529,1,九州工場,ライン-B,夜勤,1000,989,11,0.9897,7.0,0
496,MFG-00496,20250321,5,本社工場,ライン-E,夜勤,500,488,12,0.9774,10.9,3
497,MFG-00497,20260326,9,九州工場,ライン-D,日勤,200,192,8,0.9633,11.2,7
498,MFG-00498,20250510,20,九州工場,ライン-A,夜勤,50,47,3,0.9562,9.5,44
499,MFG-00499,20250301,6,本社工場,ライン-D,日勤,5,4,1,0.9959,9.7,4
500,MFG-00500,20251002,10,九州工場,ライン-C,夜勤,100,98,2,0.9895,11.1,8
501,MFG-00501,20260310,16,本社工場,ライン-B,日勤,200,192,8,0.961,10.7,1
502,MFG-00502,20250504,14,第二工場,ライン-E,夜勤,10,9,1,0.9818,8.0,3
503,MFG-00503,20260107,11,九州工場,ライン-A,日勤,1000,995,5,0.9956,11.4,3
504,MFG-00504,20251126,2,第二工場,ライン-D,日勤,1000,960,40,0.9608,9.0,7
505,MFG-00505,20250113,15,本社工場,ライン-A,夜勤,200,199,1,0.9963,4.5,6
506,MFG-00506,20250923,18,九州工場,ライン-A,日勤,500,475,25,0.9518,11.2,0
507,MFG-00507,20250715,1,本社工場,ライン-E,夜勤,500,480,20,0.9608,9.0,1
508,MFG-00508,20250111,16,九州工場,ライン-E,夜勤,100,97,3,0.9716,10.0,9
509,MFG-00509,20250509,12,第二工場,ライン-D,日勤,20,19,1,0.9638,9.8,6
510,MFG-00510,20250512,6,九州工場,ライン-C,日勤,5,4,1,0.8116,11.0,6
511,MFG-00511,20250306,12,第二工場,ライン-B,夜勤,10,9,1,0.9957,7.7,10
512,MFG-00512,20250724,5,本社工場,ライン-E,日勤,100,95,5,0.9593,11.0,9
513,MFG-00513,20250706,15,第二工場,ライン-E,夜勤,200,191,9,0.9568,4.9,4
514,MFG-00514,20260303,20,本社工場,ライン-D,日勤,100,95,5,0.9575,7.1,2
515,MFG-00515,20250815,1,第二工場,ライン-B,日勤,100,97,3,0.977,5.2,3
516,MFG-00516,20250319,14,第二工場,ライン-C,日勤,5,4,1,0.9652,11.5,10
517,MFG-00517,20260325,2,本社工場,ライン-A,日勤,50,49,1,0.9917,6.7,106
518,MFG-00518,20250414,5,第二工場,ライン-B,日勤,200,195,5,0.978,10.6,2
519,MFG-00519,20250529,10,九州工場,ライン-A,日勤,1000,969,31,0.9699,8.3,2
520,MFG-00520,20251015,18,九州工場,ライン-D,夜勤,500,498,2,0.9969,9.3,7
521,MFG-00521,20250219,2,第二工場,ライン-B,夜勤,200,190,10,0.951,9.5,7
522,MFG-00522,20251027,19,第二工場,ライン-B,日勤,1000,977,23,0.9772,11.1,5
523,MFG-00523,20250205,6,九州工場,ライン-B,夜勤,50,49,1,0.9949,11.7,10
524,MFG-00524,20250614,10,第二工場,ライン-A,夜勤,50,48,2,0.9701,5.4,3
525,MFG-00525,20250920,9,本社工場,ライン-E,夜勤,100,98,2,0.9812,9.6,6
526,MFG-00526,20250622,2,九州工場,ライン-C,夜勤,500,475,25,0.9515,11.0,0
527,MFG-00527,20260112,19,第二工場,ライン-A,夜勤,100,96,4,0.9686,9.6,6
528,MFG-00528,20250621,12,第二工場,ライン-E,夜勤,5,4,1,0.9626,5.5,1
529,MFG-00529,20250819,3,九州工場,ライン-C,日勤,50,49,1,0.9866,5.9,1
530,MFG-00530,20250320,19,本社工場,ライン-B,日勤,50,43,7,0.871,11.0,2
531,MFG-00531,20251026,15,九州工場,ライン-C,日勤,200,191,9,0.9567,11.3,2
532,MFG-00532,20250216,3,第二工場,ライン-A,日勤,100,96,4,0.9686,9.0,3
533,MFG-00533,20251229,16,九州工場,ライン-E,日勤,200,195,5,0.9784,10.9,8
534,MFG-00534,20250104,3,本社工場,ライン-B,夜勤,100,99,1,0.9967,9.6,1
535,MFG-00535,20250407,6,本社工場,ライン-C,日勤,20,19,1,0.9698,9.1,4
536,MFG-00536,20260227,12,九州工場,ライン-B,日勤,50,49,1,0.9862,4.5,103
537,MFG-00537,20260111,2,第二工場,ライン-E,日勤,500,485,15,0.9714,11.8,5
538,MFG-00538,20251029,12,九州工場,ライン-E,日勤,20,19,1,0.9672,10.5,4
539,MFG-00539,20260126,16,九州工場,ライン-C,日勤,100,98,2,0.9832,7.3,5
540,MFG-00540,20260212,13,第二工場,ライン-D,夜勤,20,19,1,0.9956,11.0,6
541,MFG-00541,20260322,5,第二工場,ライン-D,日勤,200,198,2,0.9935,5.2,3
542,MFG-00542,20250218,1,第二工場,ライン-D,日勤,100,97,3,0.9739,5.3,8
543,MFG-00543,20250523,8,第二工場,ライン-B,夜勤,200,191,9,0.9577,11.8,42
544,MFG-00544,20250204,11,九州工場,ライン-D,夜勤,100,97,3,0.9737,5.7,4
545,MFG-00545,20251120,6,九州工場,ライン-C,夜勤,10,9,1,0.9562,6.3,2
546,MFG-00546,20250709,19,本社工場,ライン-D,日勤,200,192,8,0.9601,6.6,5
547,MFG-00547,20251121,16,九州工場,ライン-C,夜勤,200,191,9,0.9593,5.0,10
548,MFG-00548,20251021,8,九州工場,ライン-E,日勤,500,488,12,0.977,11.1,1
549,MFG-00549,20250716,5,第二工場,ライン-E,日勤,200,198,2,0.9932,11.6,1
550,MFG-00550,20250819,13,第二工場,ライン-B,日勤,20,19,1,0.9607,4.0,9
551,MFG-00551,20250905,18,第二工場,ライン-B,夜勤,200,198,2,0.9924,5.6,3
552,MFG-00552,20251102,20,第二工場,ライン-A,日勤,500,494,6,0.9883,6.3,6
553,MFG-00553,20251225,1,第二工場,ライン-C,日勤,100,84,16,0.8477,10.1,134
554,MFG-00554,20260202,5,九州工場,ライン-D,夜勤,200,197,3,0.9864,4.9,4
555,MFG-00555,20250412,20,第二工場,ライン-D,日勤,200,190,10,0.9508,4.4,7
556,MFG-00556,20250708,5,九州工場,ライン-C,夜勤,200,196,4,0.981,7.2,0
557,MFG-00557,20251126,10,九州工場,ライン-C,日勤,500,492,8,0.9844,5.1,32
558,MFG-00558,20250313,5,九州工場,ライン-A,日勤,1000,986,14,0.9862,11.8,6
559,MFG-00559,20250625,3,第二工場,ライン-D,日勤,200,193,7,0.969,5.2,3
560,MFG-00560,20250818,6,第二工場,ライン-A,日勤,10,9,1,0.9525,10.7,0
561,MFG-00561,20250122,8,本社工場,ライン-B,日勤,200,197,3,0.9863,9.4,89
562,MFG-00562,20250910,1,九州工場,ライン-D,日勤,50,48,2,0.96,8.7,35
563,MFG-00563,20251025,12,本社工場,ライン-E,夜勤,10,9,1,0.9857,6.3,8
564,MFG-00564,20250718,6,九州工場,ライン-B,夜勤,10,9,1,0.9557,6.3,169
565,MFG-00565,20251130,17,本社工場,ライン-D,日勤,100,95,5,0.9551,11.5,9
566,MFG-00566,20260112,10,九州工場,ライン-B,夜勤,200,196,4,0.9801,8.5,4
567,MFG-00567,20250422,17,第二工場,ライン-A,日勤,100,96,4,0.966,8.0,5
568,MFG-00568,20250823,13,本社工場,ライン-E,夜勤,10,9,1,0.982,11.5,42
569,MFG-00569,20260329,1,九州工場,ライン-A,日勤,500,497,3,0.9946,6.4,9
570,MFG-00570,20250323,4,第二工場,ライン-A,日勤,200,197,3,0.9856,7.0,10
571,MFG-00571,20250112,10,本社工場,ライン-A,夜勤,100,99,1,0.9947,11.9,1
572,MFG-00572,20251122,1,本社工場,ライン-D,日勤,100,97,3,0.9719,11.1,4
573,MFG-00573,20250519,1,第二工場,ライン-E,日勤,500,476,24,0.9531,9.4,142
574,MFG-00574,20250810,15,本社工場,ライン-D,日勤,200,151,49,0.7595,10.2,4
575,MFG-00575,20260104,16,第二工場,ライン-B,日勤,500,479,21,0.959,9.5,10
576,MFG-00576,20250123,19,九州工場,ライン-D,夜勤,500,492,8,0.9856,6.3,109
577,MFG-00577,20250822,16,本社工場,ライン-E,夜勤,500,488,12,0.9764,5.2,5
578,MFG-00578,20250728,6,第二工場,ライン-E,夜勤,10,9,1,0.9891,10.0,8
579,MFG-00579,20250728,12,本社工場,ライン-D,夜勤,10,9,1,0.9724,10.0,2
580,MFG-00580,20250122,11,九州工場,ライン-E,日勤,200,197,3,0.9899,5.3,2
581,MFG-00581,20260222,7,本社工場,ライン-D,夜勤,50,48,2,0.9749,8.6,8
582,MFG-00582,20251207,6,九州工場,ライン-B,夜勤,10,9,1,0.9679,11.5,6
583,MFG-00583,20250423,19,九州工場,ライン-C,夜勤,500,480,20,0.9608,9.2,3
